Matrice,M,N,NZ,Densità,Thread,Tempo Medio (s),FLOPs,GFLOPS,Speedup
olm1000.mtx,1000,1000,3996,0.00399600,24,0.000010,7992,0.818518,0.99
olm1000.mtx,1000,1000,3996,0.00399600,25,0.000010,7992,0.830882,1.01
olm1000.mtx,1000,1000,3996,0.00399600,26,0.000010,7992,0.766534,0.93
olm1000.mtx,1000,1000,3996,0.00399600,27,0.000009,7992,0.862620,1.04
olm1000.mtx,1000,1000,3996,0.00399600,28,0.000010,7992,0.826122,1.00
olm1000.mtx,1000,1000,3996,0.00399600,29,0.000010,7992,0.787858,0.95
olm1000.mtx,1000,1000,3996,0.00399600,30,0.000009,7992,0.857534,1.04
olm1000.mtx,1000,1000,3996,0.00399600,31,0.011364,7992,0.000703,0.00
olm1000.mtx,1000,1000,3996,0.00399600,32,0.005159,7992,0.001549,0.00
olm1000.mtx,1000,1000,3996,0.00399600,33,0.000015,7992,0.519468,0.63
olm1000.mtx,1000,1000,3996,0.00399600,34,0.000015,7992,0.516451,0.62
olm1000.mtx,1000,1000,3996,0.00399600,35,0.000017,7992,0.478043,0.58
olm1000.mtx,1000,1000,3996,0.00399600,36,0.000016,7992,0.499293,0.60
olm1000.mtx,1000,1000,3996,0.00399600,37,0.000013,7992,0.592348,0.72
olm1000.mtx,1000,1000,3996,0.00399600,38,0.000015,7992,0.528083,0.64
olm1000.mtx,1000,1000,3996,0.00399600,39,0.000016,7992,0.491909,0.60
olm1000.mtx,1000,1000,3996,0.00399600,40,0.000015,7992,0.525882,0.64
raefsky2.mtx,3242,3242,294276,0.02799812,2,0.000719,588552,0.818842,0.72
raefsky2.mtx,3242,3242,294276,0.02799812,3,0.000229,588552,2.570555,2.26
raefsky2.mtx,3242,3242,294276,0.02799812,4,0.000179,588552,3.288031,2.89
raefsky2.mtx,3242,3242,294276,0.02799812,5,0.000150,588552,3.916707,3.44
raefsky2.mtx,3242,3242,294276,0.02799812,6,0.000130,588552,4.515272,3.97
raefsky2.mtx,3242,3242,294276,0.02799812,7,0.000147,588552,3.994923,3.51
raefsky2.mtx,3242,3242,294276,0.02799812,8,0.000136,588552,4.339203,3.81
raefsky2.mtx,3242,3242,294276,0.02799812,9,0.000130,588552,4.536746,3.99
raefsky2.mtx,3242,3242,294276,0.02799812,10,0.000124,588552,4.731585,4.16
raefsky2.mtx,3242,3242,294276,0.02799812,11,0.000114,588552,5.150411,4.53
raefsky2.mtx,3242,3242,294276,0.02799812,12,0.000130,588552,4.532972,3.98
raefsky2.mtx,3242,3242,294276,0.02799812,13,0.000137,588552,4.287580,3.77
raefsky2.mtx,3242,3242,294276,0.02799812,14,0.000121,588552,4.849574,4.26
raefsky2.mtx,3242,3242,294276,0.02799812,15,0.000123,588552,4.804027,4.22
raefsky2.mtx,3242,3242,294276,0.02799812,16,0.000126,588552,4.668338,4.10
raefsky2.mtx,3242,3242,294276,0.02799812,17,0.000129,588552,4.572742,4.02
raefsky2.mtx,3242,3242,294276,0.02799812,18,0.000127,588552,4.639055,4.08
