Matrice,M,N,NZ,Densità,Thread,Tempo Medio (s),FLOPs,GFLOPS,Speedup
bcsstk17.mtx,10974,10974,428650,0.00355937,5,0.000160,857300,5.367175,3.21
bcsstk17.mtx,10974,10974,428650,0.00355937,6,0.000138,857300,6.205843,3.71
bcsstk17.mtx,10974,10974,428650,0.00355937,7,0.000154,857300,5.575101,3.34
bcsstk17.mtx,10974,10974,428650,0.00355937,8,0.000134,857300,6.401472,3.83
bcsstk17.mtx,10974,10974,428650,0.00355937,9,0.000126,857300,6.821008,4.08
bcsstk17.mtx,10974,10974,428650,0.00355937,10,0.000126,857300,6.783185,4.06
bcsstk17.mtx,10974,10974,428650,0.00355937,11,0.000113,857300,7.619905,4.56
bcsstk17.mtx,10974,10974,428650,0.00355937,12,0.000117,857300,7.335513,4.39
bcsstk17.mtx,10974,10974,428650,0.00355937,13,0.000130,857300,6.595416,3.95
bcsstk17.mtx,10974,10974,428650,0.00355937,14,0.000116,857300,7.406904,4.43
bcsstk17.mtx,10974,10974,428650,0.00355937,15,0.000113,857300,7.599492,4.55
bcsstk17.mtx,10974,10974,428650,0.00355937,16,0.000112,857300,7.669105,4.59
bcsstk17.mtx,10974,10974,428650,0.00355937,17,0.000113,857300,7.597140,4.55
bcsstk17.mtx,10974,10974,428650,0.00355937,18,0.000109,857300,7.840409,4.69
bcsstk17.mtx,10974,10974,428650,0.00355937,19,0.000106,857300,8.100877,4.85
bcsstk17.mtx,10974,10974,428650,0.00355937,20,0.000105,857300,8.157338,4.88
bcsstk17.mtx,10974,10974,428650,0.00355937,21,0.000109,857300,7.876401,4.71
bcsstk17.mtx,10974,10974,428650,0.00355937,22,0.000231,857300,3.713881,2.22
bcsstk17.mtx,10974,10974,428650,0.00355937,23,0.000551,857300,1.557280,0.93
bcsstk17.mtx,10974,10974,428650,0.00355937,24,0.000466,857300,1.840613,1.10
bcsstk17.mtx,10974,10974,428650,0.00355937,25,0.000432,857300,1.985681,1.19
bcsstk17.mtx,10974,10974,428650,0.00355937,26,0.001363,857300,0.628989,0.38
bcsstk17.mtx,10974,10974,428650,0.00355937,27,0.000367,857300,2.334802,1.40
bcsstk17.mtx,10974,10974,428650,0.00355937,28,0.001267,857300,0.676422,0.40
bcsstk17.mtx,10974,10974,428650,0.00355937,29,0.001178,857300,0.727959,0.44
bcsstk17.mtx,10974,10974,428650,0.00355937,30,0.000174,857300,4.913404,2.94
bcsstk17.mtx,10974,10974,428650,0.00355937,31,0.002383,857300,0.359725,0.22
bcsstk17.mtx,10974,10974,428650,0.00355937,32,0.000807,857300,1.062291,0.64
bcsstk17.mtx,10974,10974,428650,0.00355937,33,0.001058,857300,0.810626,0.49
bcsstk17.mtx,10974,10974,428650,0.00355937,34,0.000204,857300,4.203993,2.52
bcsstk17.mtx,10974,10974,428650,0.00355937,35,0.000176,857300,4.881033,2.92
bcsstk17.mtx,10974,10974,428650,0.00355937,36,0.000178,857300,4.812315,2.88
bcsstk17.mtx,10974,10974,428650,0.00355937,37,0.000177,857300,4.842772,2.90
bcsstk17.mtx,10974,10974,428650,0.00355937,38,0.000188,857300,4.561936,2.73
bcsstk17.mtx,10974,10974,428650,0.00355937,39,0.000183,857300,4.690494,2.81
bcsstk17.mtx,10974,10974,428650,0.00355937,40,0.000194,857300,4.421448,2.65
cage4.mtx,9,9,49,0.60493827,2,0.000006,98,0.015411,0.05
cage4.mtx,9,9,49,0.60493827,3,0.001278,98,0.000077,0.00
cage4.mtx,9,9,49,0.60493827,4,0.000048,98,0.002033,0.01
cage4.mtx,9,9,49,0.60493827,5,0.000045,98,0.002178,0.01
cage4.mtx,9,9,49,0.60493827,6,0.000003,98,0.029287,0.10
cage4.mtx,9,9,49,0.60493827,7,0.000003,98,0.033485,0.12
cage4.mtx,9,9,49,0.60493827,8,0.000041,98,0.002401,0.01
cage4.mtx,9,9,49,0.60493827,9,0.000069,98,0.001421,0.00
cage4.mtx,9,9,49,0.60493827,10,0.000004,98,0.022554,0.08
cage4.mtx,9,9,49,0.60493827,11,0.000004,98,0.023306,0.08
cage4.mtx,9,9,49,0.60493827,12,0.000005,98,0.020868,0.07
cage4.mtx,9,9,49,0.60493827,13,0.000004,98,0.024785,0.09
cage4.mtx,9,9,49,0.60493827,14,0.000004,98,0.025135,0.09
cage4.mtx,9,9,49,0.60493827,15,0.000004,98,0.023433,0.08
cage4.mtx,9,9,49,0.60493827,16,0.000004,98,0.024698,0.08
cage4.mtx,9,9,49,0.60493827,17,0.000003,98,0.029438,0.10
cage4.mtx,9,9,49,0.60493827,18,0.000005,98,0.021460,0.07
cage4.mtx,9,9,49,0.60493827,19,0.000005,98,0.020347,0.07
cage4.mtx,9,9,49,0.60493827,20,0.000005,98,0.017995,0.06
cage4.mtx,9,9,49,0.60493827,21,0.000005,98,0.018950,0.07
cage4.mtx,9,9,49,0.60493827,22,0.000005,98,0.020841,0.07
cage4.mtx,9,9,49,0.60493827,23,0.000004,98,0.024698,0.08
cage4.mtx,9,9,49,0.60493827,24,0.000005,98,0.020506,0.07
cage4.mtx,9,9,49,0.60493827,25,0.000005,98,0.018226,0.06
cage4.mtx,9,9,49,0.60493827,26,0.000005,98,0.020837,0.07
cage4.mtx,9,9,49,0.60493827,27,0.000004,98,0.023562,0.08
cage4.mtx,9,9,49,0.60493827,28,0.000004,98,0.027889,0.10
cage4.mtx,9,9,49,0.60493827,29,0.000004,98,0.025937,0.09
cage4.mtx,9,9,49,0.60493827,30,0.000004,98,0.026043,0.09
cage4.mtx,9,9,49,0.60493827,31,0.000004,98,0.023937,0.08
cage4.mtx,9,9,49,0.60493827,32,0.000004,98,0.025835,0.09
cage4.mtx,9,9,49,0.60493827,33,0.000003,98,0.029805,0.10
cage4.mtx,9,9,49,0.60493827,34,0.000004,98,0.023301,0.08
cage4.mtx,9,9,49,0.60493827,35,0.000004,98,0.023891,0.08
cage4.mtx,9,9,49,0.60493827,36,0.000004,98,0.023861,0.08
cage4.mtx,9,9,49,0.60493827,37,0.000004,98,0.025298,0.09
cage4.mtx,9,9,49,0.60493827,38,0.000003,98,0.029979,0.10
cage4.mtx,9,9,49,0.60493827,39,0.000004,98,0.027629,0.10
cage4.mtx,9,9,49,0.60493827,40,0.000004,98,0.026248,0.09
cant.mtx,62451,62451,4007383,-0.01014939,2,0.003484,8014766,2.300208,1.61
cant.mtx,62451,62451,4007383,-0.01014939,3,0.002867,8014766,2.795409,1.96
cant.mtx,62451,62451,4007383,-0.01014939,4,0.002086,8014766,3.841785,2.69
cant.mtx,62451,62451,4007383,-0.01014939,5,0.001880,8014766,4.263901,2.98
cant.mtx,62451,62451,4007383,-0.01014939,6,0.001747,8014766,4.586591,3.21
cant.mtx,62451,62451,4007383,-0.01014939,7,0.001576,8014766,5.086472,3.56
cant.mtx,62451,62451,4007383,-0.01014939,8,0.001491,8014766,5.373841,3.76
cant.mtx,62451,62451,4007383,-0.01014939,9,0.001535,8014766,5.221621,3.65
cant.mtx,62451,62451,4007383,-0.01014939,10,0.001437,8014766,5.578745,3.90
cant.mtx,62451,62451,4007383,-0.01014939,11,0.001497,8014766,5.355224,3.75
cant.mtx,62451,62451,4007383,-0.01014939,12,0.001471,8014766,5.448382,3.81
cant.mtx,62451,62451,4007383,-0.01014939,13,0.001462,8014766,5.483508,3.84
cant.mtx,62451,62451,4007383,-0.01014939,14,0.001461,8014766,5.487574,3.84
cant.mtx,62451,62451,4007383,-0.01014939,15,0.001429,8014766,5.609451,3.92
cant.mtx,62451,62451,4007383,-0.01014939,16,0.001426,8014766,5.620528,3.93
cant.mtx,62451,62451,4007383,-0.01014939,17,0.001432,8014766,5.597338,3.92
cant.mtx,62451,62451,4007383,-0.01014939,18,0.001435,8014766,5.586717,3.91
cant.mtx,62451,62451,4007383,-0.01014939,19,0.001411,8014766,5.680331,3.97
cant.mtx,62451,62451,4007383,-0.01014939,20,0.001396,8014766,5.739445,4.01
cant.mtx,62451,62451,4007383,-0.01014939,21,0.001359,8014766,5.898424,4.13
cant.mtx,62451,62451,4007383,-0.01014939,22,0.001432,8014766,5.595294,3.91
cant.mtx,62451,62451,4007383,-0.01014939,23,0.001526,8014766,5.251442,3.67
cant.mtx,62451,62451,4007383,-0.01014939,24,0.001441,8014766,5.561302,3.89
cant.mtx,62451,62451,4007383,-0.01014939,25,0.001472,8014766,5.444352,3.81
cant.mtx,62451,62451,4007383,-0.01014939,26,0.001427,8014766,5.615338,3.93
cant.mtx,62451,62451,4007383,-0.01014939,27,0.001429,8014766,5.610074,3.92
cant.mtx,62451,62451,4007383,-0.01014939,28,0.001415,8014766,5.662501,3.96
cant.mtx,62451,62451,4007383,-0.01014939,29,0.001436,8014766,5.583043,3.91
cant.mtx,62451,62451,4007383,-0.01014939,30,0.001513,8014766,5.295822,3.70
cant.mtx,62451,62451,4007383,-0.01014939,31,0.001568,8014766,5.111305,3.58
cant.mtx,62451,62451,4007383,-0.01014939,32,0.001520,8014766,5.271876,3.69
cant.mtx,62451,62451,4007383,-0.01014939,33,0.001525,8014766,5.254375,3.68
cant.mtx,62451,62451,4007383,-0.01014939,34,0.001534,8014766,5.223189,3.65
cant.mtx,62451,62451,4007383,-0.01014939,35,0.001602,8014766,5.001796,3.50
cant.mtx,62451,62451,4007383,-0.01014939,36,0.001518,8014766,5.279230,3.69
cant.mtx,62451,62451,4007383,-0.01014939,37,0.001579,8014766,5.075853,3.55
cant.mtx,62451,62451,4007383,-0.01014939,38,0.001579,8014766,5.076421,3.55
cant.mtx,62451,62451,4007383,-0.01014939,39,0.001622,8014766,4.941800,3.46
cant.mtx,62451,62451,4007383,-0.01014939,40,0.012065,8014766,0.664288,0.46
cavity10.mtx,2597,2597,76367,0.01132301,2,0.000315,152734,0.484587,0.28
cavity10.mtx,2597,2597,76367,0.01132301,3,0.000131,152734,1.166175,0.68
cavity10.mtx,2597,2597,76367,0.01132301,4,0.000075,152734,2.028346,1.19
cavity10.mtx,2597,2597,76367,0.01132301,5,0.000066,152734,2.305302,1.35
cavity10.mtx,2597,2597,76367,0.01132301,6,0.000057,152734,2.695544,1.58
cavity10.mtx,2597,2597,76367,0.01132301,7,0.000056,152734,2.735264,1.60
cavity10.mtx,2597,2597,76367,0.01132301,8,0.000138,152734,1.109230,0.65
cavity10.mtx,2597,2597,76367,0.01132301,9,0.000081,152734,1.878533,1.10
cavity10.mtx,2597,2597,76367,0.01132301,10,0.000069,152734,2.200090,1.29
cavity10.mtx,2597,2597,76367,0.01132301,11,0.000071,152734,2.154509,1.26
